"K,accuracy,sensitivity,specificity,precision,f1_score"
"5,0.9825,0.963,1.0,1.0,0.9811"
"7,0.9474,0.8889,1.0,1.0,0.9412"
"9,0.9123,0.8148,1.0,1.0,0.898"
"11,0.9123,0.8148,1.0,1.0,0.898"
"13,0.9298,0.8519,1.0,1.0,0.92"
"15,0.9123,0.8148,1.0,1.0,0.898"
"17,0.8947,0.7778,1.0,1.0,0.875"
"19,0.8772,0.7407,1.0,1.0,0.8511"
"21,0.8596,0.7037,1.0,1.0,0.8261"
"23,0.8596,0.7037,1.0,1.0,0.8261"
"25,0.8421,0.6667,1.0,1.0,0.8"
"27,0.8421,0.6667,1.0,1.0,0.8"
"29,0.8246,0.6296,1.0,1.0,0.7727"
"31,0.8246,0.6296,1.0,1.0,0.7727"
